oracle_league,oracle_games,best_slug,team_overlap,matched,match_pct,n_aliases
LPL,805,lpl,6,8,1.0,3
LCK,555,lck,8,341,61.4,0
LCKC,542,lck_challengers_league,10,429,79.2,7
LAS,489,lck,8,3,0.6,8
EM,440,emea_masters,55,343,78.0,7
LJL,374,ljl-japan,18,144,38.5,2
LFL,318,lfl,10,299,94.0,1
LEC,306,lec,10,256,83.7,0
PRM,303,primeleague,10,109,36.0,0
PCS,303,pcs,11,248,81.8,4
CD,301,cd,13,56,18.6,8
AL,293,arabian_league,12,82,28.0,2
LCP,291,lcp,13,291,100.0,4
NACL,276,nacl,14,102,37.0,2
LVP SL,264,les,10,227,86.0,3
NLC,249,nlc,14,129,51.8,7
TCL,240,turkiye-sampiyonluk-ligi,9,89,37.1,1
RL,240,rift_legends,8,39,16.2,2
LFL2,233,hitpoint_masters,4,0,0.0,4
LTA S,222,lta_s,9,194,87.4,4
HLL,221,hellenic_legends_league,9,77,34.8,5
LTA N,213,lta_n,8,180,84.5,2
ROL,208,roadoflegends,9,174,83.7,1
HC,200,hitpoint_masters,9,0,0.0,1
EBL,191,esports_balkan_league,12,95,49.7,2
HM,190,hitpoint_masters,9,175,92.1,1
Asia Master,180,lck_challengers_league,13,0,0.0,10
LPLOL,160,liga_portuguesa,19,76,47.5,5
NEXO,154,pcs,4,2,1.3,4
LRN,151,north_regional_league,9,65,43.0,2
VCS,141,vcs,11,94,66.7,8
LIT,139,lit,8,82,59.0,1
LRS,139,south_regional_league,10,71,51.1,2
HW,114,hitpoint_masters,20,114,100.0,2
WLDs,96,worlds,17,71,74.0,1
MSI,80,msi,9,58,72.5,0
DCup,75,les,8,0,0.0,8
PRMP,73,primeleague,13,0,0.0,3
KeSPA,56,lck,8,0,0.0,0
CT,50,les,3,0,0.0,3
ASI,42,lck,5,0,0.0,2
LTA,40,lta_cross,11,39,97.5,5
FST,35,first_stand,5,35,100.0,1
EWC,33,les,5,2,6.1,5
IC,28,les,9,0,0.0,4
